iter	RMSE
0	2.747236343
1	2.679170988
2	2.60775841
3	2.545202622
4	2.476677156
5	2.422450968
6	2.366747042
7	2.307230766
8	2.246144817
9	2.186726394
10	2.135380178
11	2.080525922
12	2.020911068
13	1.977471242
14	1.926393708
15	1.881479207
16	1.835044637
17	1.787651382
18	1.740865058
19	1.697671515
20	1.651722198
21	1.611854596
22	1.574634692
23	1.533776643
24	1.495732524
25	1.461750284
26	1.427484671
27	1.396708099
28	1.370402837
29	1.341707163
30	1.309964191
31	1.278814947
32	1.243918848
33	1.216246234
34	1.191252674
35	1.162087304
36	1.138369942
37	1.118194806
38	1.091066266
39	1.066024043
40	1.045449211
41	1.021590843
42	1.002811798
43	0.979289111
44	0.9591889246
45	0.9355594414
46	0.9146175678
47	0.8923600949
48	0.8743081616
49	0.8560197405
50	0.8383870573
51	0.8216650287
52	0.8050035725
53	0.7906690909
54	0.7769542978
55	0.7604493814
56	0.7442563053
57	0.7306158859
58	0.7168253824
59	0.7054014025
60	0.6953758553
61	0.6829978013
62	0.673359243
63	0.6606579064
64	0.648941255
65	0.6390690823
66	0.626506717
67	0.6170298916
68	0.605154371
69	0.5948074108
70	0.5841768412
71	0.573540436
72	0.5656549526
73	0.555669312
74	0.5472174344
75	0.5385044917
76	0.5303334383
77	0.5231137895
78	0.5169947819
79	0.5097047677
80	0.5024841149
81	0.4969527135
82	0.4906259238
83	0.4850132381
84	0.4790368085
85	0.4741398606
86	0.4670543399
87	0.4625822334
88	0.4558738078
89	0.4512802451
90	0.4473767174
91	0.4425330874
92	0.4383239025
93	0.4333088268
94	0.4291316628
95	0.4235454385
96	0.4192975635
97	0.4151966698
98	0.4116963122
99	0.4078660231
100	0.40421764
101	0.3999112618
102	0.3969428371
103	0.3938317342
104	0.3902609644
105	0.386276351
106	0.3834511688
107	0.3796623001
108	0.3772869859
109	0.3745367893
110	0.3714700383
111	0.3680809548
112	0.3652408051
113	0.362331731
114	0.3603512825
115	0.357485726
116	0.3550937753
117	0.3529071081
118	0.3504677292
119	0.3485726764
120	0.3466109444
121	0.3445108933
122	0.3422184756
123	0.3398504481
124	0.3383212887
125	0.3365089297
126	0.3343915402
127	0.3325866477
128	0.3308745902
129	0.3291298911
130	0.3272477263
131	0.3253863549
132	0.3235567345
133	0.321828778
134	0.3203542477
135	0.3192053659
136	0.3178899995
137	0.3164181294
138	0.3152636992
139	0.3136530332
140	0.3123507009
141	0.3106077974
142	0.3091612688
143	0.3077761889
144	0.3060395271
145	0.3047509245
146	0.303773118
147	0.3024595286
148	0.3014894168
149	0.300696303
150	0.2993631702
151	0.2980917309
152	0.2969023591
153	0.2959396533
154	0.294669516
155	0.293914155
156	0.2931220983
157	0.2922832021
158	0.2913798843
159	0.2907614349
160	0.2898936899
161	0.2887110025
162	0.2875605423
163	0.2864863079
164	0.2855145851
165	0.284780678
166	0.283823274
167	0.2832723122
168	0.2825429265
169	0.2815982583
170	0.2804958403
171	0.2796875787
172	0.2790120065
173	0.2783514228
174	0.2777596592
175	0.2770681346
176	0.2765908502
177	0.2759714421
178	0.2754031225
179	0.2746958942
180	0.2739052059
181	0.2730920073
182	0.2725279986
183	0.271773039
184	0.2708820267
185	0.2702056647
186	0.2695100149
187	0.2690195139
188	0.2682439543
189	0.2677504938
190	0.267190179
191	0.2668387631
192	0.2661516027
193	0.2652496548
194	0.2647886921
195	0.2643432509
196	0.263683781
197	0.2630183417
198	0.2626035567
199	0.2620144558
200	0.2614807151
201	0.2607643133
202	0.2602126804
203	0.2597712029
204	0.2594648118
205	0.2589052659
206	0.2583632186
207	0.2580457299
208	0.2572745122
209	0.2569768474
210	0.2566426262
211	0.2562593137
212	0.2556397061
213	0.2553776622
214	0.2548451291
215	0.2543361118
216	0.2537418423
217	0.2532305191
218	0.2527043668
219	0.2523957307
220	0.2521763238
221	0.2514350796
222	0.2511014016
223	0.2509261328
224	0.2506532174
225	0.2503538927
226	0.250025486
227	0.2497424252
228	0.2494156354
229	0.2491497846
