iter	Passed	Remaining
0	173	173737
1	178	88893
2	182	60536
3	187	46795
4	192	38318
5	194	32273
6	197	27991
7	199	24770
8	202	22247
9	205	20328
10	207	18613
11	208	17178
12	210	15948
13	212	14940
14	214	14099
15	218	13416
16	219	12719
17	221	12081
18	222	11506
19	224	10991
20	225	10524
21	228	10145
22	230	9795
23	232	9469
24	235	9185
25	237	8892
26	238	8604
27	240	8335
28	241	8085
29	243	7874
30	245	7679
31	247	7487
32	250	7343
33	252	7170
34	253	6997
35	255	6832
36	256	6677
37	258	6547
38	261	6441
39	264	6341
40	266	6222
41	267	6101
42	268	5985
43	270	5873
44	271	5767
45	273	5667
46	275	5596
47	277	5509
48	280	5440
49	282	5368
50	283	5284
51	285	5203
52	287	5128
53	289	5063
54	291	5014
55	294	4958
56	296	4902
57	297	4835
58	299	4770
59	300	4707
60	301	4647
61	303	4588
62	305	4545
63	307	4500
64	309	4456
65	312	4425
66	314	4375
67	315	4326
68	317	4279
69	318	4236
70	321	4201
71	322	4162
72	325	4128
73	328	4112
74	330	4073
75	331	4033
76	333	3994
77	334	3958
78	337	3929
79	339	3901
80	342	3881
81	343	3846
82	344	3811
83	346	3782
84	348	3751
85	350	3721
86	352	3701
87	354	3674
88	357	3654
89	359	3634
90	360	3604
91	362	3574
92	362	3539
93	364	3511
94	365	3485
95	367	3463
96	369	3443
97	372	3427
98	373	3402
99	375	3378
100	377	3355
101	378	3333
102	379	3304
103	381	3282
104	383	3266
105	385	3249
106	387	3235
107	389	3214
108	390	3194
109	392	3175
110	394	3157
111	395	3138
112	397	3122
113	399	3108
114	401	3092
115	403	3074
116	405	3056
117	406	3038
118	407	3019
119	409	3002
120	410	2984
121	412	2969
122	415	2959
123	417	2946
124	418	2932
125	420	2915
126	421	2899
127	423	2883
128	424	2867
129	426	2852
130	427	2837
131	429	2827
132	432	2816
133	433	2803
134	435	2788
135	436	2774
136	438	2760
137	439	2746
138	441	2732
139	442	2719
140	444	2710
141	447	2703
142	449	2691
143	450	2678
144	452	2665
145	453	2652
146	454	2639
147	456	2626
148	457	2614
149	459	2606
150	462	2600
151	464	2590
152	465	2578
153	467	2567
154	468	2555
155	470	2543
156	471	2532
157	472	2516
158	473	2505
159	476	2499
160	478	2493
161	480	2484
162	481	2473
163	483	2463
164	484	2452
165	486	2442
166	487	2432
167	489	2422
168	491	2416
169	494	2412
170	495	2403
171	497	2393
172	498	2383
173	500	2374
174	501	2364
175	502	2354
176	504	2345
177	507	2342
178	509	2337
179	511	2329
180	512	2320
181	514	2311
182	515	2302
183	517	2294
184	518	2285
185	520	2278
186	523	2274
187	525	2271
188	527	2263
189	528	2255
190	530	2247
191	532	2239
192	533	2230
193	535	2223
194	538	2222
195	541	2221
196	543	2214
197	544	2206
198	546	2198
199	547	2191
200	549	2184
201	551	2177
202	553	2173
203	556	2170
204	558	2164
205	559	2158
206	561	2151
207	563	2145
208	565	2139
209	567	2136
210	570	2133
211	572	2128
212	574	2123
213	576	2117
214	578	2111
215	580	2105
216	582	2101
217	584	2096
218	586	2092
219	588	2086
220	590	2080
221	592	2075
222	594	2069
223	595	2064
224	597	2059
225	600	2056
226	602	2051
227	604	2045
228	605	2039
229	607	2034
230	609	2029
231	611	2023
232	613	2019
233	616	2018
234	618	2014
235	619	2006
236	621	2000
237	623	1994
238	624	1988
239	626	1982
240	628	1978
241	630	1973
242	633	1972
243	634	1967
244	636	1961
245	638	1955
246	639	1949
247	641	1944
248	642	1939
249	644	1934
250	647	1931
251	649	1927
252	650	1922
253	652	1917
254	654	1911
255	655	1906
256	657	1901
257	660	1898
